basements,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,street_code,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code
11,0,0,105.0,80000.0,0.0,4,0,16.0,0.0,8,80000,4,219600.0,1.0,3.0,2.0,357.0,4,865,43920.0,1644.0,1102.0,6,6,1925.0,19134.0
11,0,0,100.0,0.0,0.0,4,0,25.0,0.0,7,80000,4,230800.0,0.0,0.0,3.0,2782.0,4,3241,46160.0,2500.0,2400.0,6,6,1925.0,19153.0
3,0,0,70.0,70500.0,0.0,4,0,16.0,0.0,7,0,4,192900.0,1.0,3.0,2.0,1881.0,4,1064,38580.0,1123.0,960.0,6,6,1955.0,19137.0
11,0,0,50.0,30683.2,0.0,6,0,16.0,0.0,7,30683,4,75500.0,1.0,3.0,2.0,2108.0,4,2107,15100.0,800.0,928.0,6,6,1915.0,19121.0
0,0,1,59.0,0.0,0.0,1,0,18.0,0.0,8,0,3,403500.0,2.0,4.0,3.0,904.0,4,2960,80700.0,1062.0,2342.0,0,6,2012.0,19146.0
11,0,0,70.0,49360.0,12340.0,4,0,14.0,0.0,7,61700,4,61700.0,1.0,3.0,2.0,1854.0,4,1502,0.0,980.0,1054.0,6,6,1935.0,19134.0
11,0,0,78.0,67000.0,0.0,4,0,16.0,0.0,7,0,4,107200.0,1.0,4.0,3.0,1327.0,4,246,21440.0,1248.0,1864.0,6,6,1915.0,19104.0
3,0,0,68.0,0.0,0.0,4,0,14.0,0.0,7,0,4,148500.0,1.0,2.0,2.0,123.0,4,1839,29700.0,969.0,742.0,1,3,1910.0,19134.0
11,0,0,30.0,80000.0,0.0,4,0,15.0,0.0,7,80000,4,419000.0,1.0,4.0,3.0,412.0,4,722,83800.0,452.0,1245.0,6,6,1920.0,19147.0
0,0,1,105.0,80000.0,0.0,4,0,30.0,1.0,7,80000,4,246400.0,1.0,3.0,2.0,3451.0,4,715,49280.0,3153.0,1216.0,0,6,1965.0,19152.0
11,1,0,80.0,0.0,0.0,4,0,16.0,0.0,7,0,4,240900.0,0.0,0.0,2.0,839.0,4,3047,48180.0,1266.0,1464.0,6,6,1920.0,19143.0
3,0,0,74.0,0.0,0.0,4,0,14.0,1.0,7,0,4,121200.0,1.0,3.0,2.0,99.0,4,2393,24240.0,1058.0,924.0,6,6,1925.0,19138.0
0,0,1,96.0,0.0,0.0,4,0,16.0,0.0,7,0,2,197600.0,3.0,3.0,2.0,2169.0,4,1577,39520.0,1506.0,1834.0,0,6,1925.0,19111.0
0,0,1,61.0,80000.0,0.0,3,0,14.0,0.0,7,80000,3,400000.0,2.0,3.0,1.0,1090.0,4,977,80000.0,854.0,1517.0,0,6,1923.0,19146.0
11,0,0,64.0,0.0,0.0,4,0,15.0,0.0,7,0,4,102400.0,1.0,3.0,2.0,1312.0,4,2392,20480.0,953.0,1020.0,6,6,1925.0,19143.0
11,1,0,64.0,0.0,0.0,4,0,18.0,0.0,7,0,4,167700.0,0.0,0.0,2.0,3378.0,4,746,33500.0,1120.0,1372.0,6,6,1920.0,19143.0
7,0,0,75.0,0.0,0.0,4,0,16.0,1.0,7,0,4,148600.0,1.0,4.0,2.0,2935.0,4,492,29720.0,1200.0,1616.0,6,6,1928.0,19120.0
11,1,0,85.0,0.0,0.0,4,0,16.0,0.0,7,0,4,228900.0,0.0,0.0,2.0,2027.0,4,2862,45780.0,1360.0,1591.0,6,6,1920.0,19139.0
0,0,0,58.0,80000.0,0.0,4,0,15.0,0.0,7,80000,4,223900.0,1.0,3.0,2.0,1266.0,4,3104,44780.0,889.0,1098.0,0,6,1925.0,19148.0
0,0,0,114.0,80000.0,0.0,4,0,15.0,2.0,7,80000,4,246500.0,1.0,3.0,2.0,399.0,4,2160,49300.0,1728.0,1214.0,1,6,1930.0,19128.0
3,0,0,67.0,0.0,0.0,4,0,15.0,0.0,7,0,5,80100.0,1.0,3.0,2.0,1188.0,0,1354,16020.0,1010.0,1080.0,1,6,1930.0,19119.0
3,0,0,98.0,0.0,0.0,4,0,16.0,1.0,7,0,4,132800.0,1.0,4.0,2.0,1944.0,4,2101,26500.0,1563.0,1516.0,1,6,1945.0,19124.0
11,0,1,0.0,0.0,0.0,4,0,0.0,0.0,7,0,4,186300.0,0.0,0.0,1.0,913.0,4,1663,22400.0,0.0,522.0,6,0,1963.0,19106.0
11,0,0,52.0,0.0,0.0,4,0,14.0,0.0,7,0,4,74000.0,1.0,3.0,2.0,1390.0,4,804,14800.0,732.0,940.0,6,6,1915.0,19121.0
3,0,0,92.0,0.0,0.0,4,0,48.0,0.0,7,0,4,528700.0,0.0,0.0,2.0,556.0,4,3159,105700.0,4416.0,2250.0,6,6,1930.0,19104.0
3,0,0,71.0,0.0,0.0,3,0,15.0,0.0,7,0,3,546200.0,2.0,4.0,3.0,1873.0,4,2244,109240.0,1065.0,1980.0,6,6,1920.0,19130.0
11,0,0,50.0,39040.0,9760.0,6,0,14.0,0.0,7,48800,4,48800.0,1.0,3.0,2.0,1188.0,4,2006,0.0,700.0,980.0,6,6,1915.0,19132.0
11,0,0,49.0,0.0,0.0,4,0,14.0,0.0,7,0,4,58500.0,1.0,3.0,2.0,421.0,4,2401,11700.0,687.0,952.0,6,6,1930.0,19134.0
11,1,0,100.0,0.0,0.0,4,0,19.0,0.0,7,0,4,195900.0,0.0,0.0,2.0,3694.0,4,2722,39100.0,1891.0,1320.0,6,6,1935.0,19120.0
2,0,0,92.0,80000.0,0.0,4,0,16.0,0.0,7,80000,3,175800.0,1.0,3.0,2.0,3204.0,4,1396,35160.0,1462.0,1014.0,6,6,1925.0,19139.0
3,0,0,56.0,0.0,0.0,4,0,15.0,0.0,7,61000,4,61000.0,1.0,3.0,2.0,1199.0,4,1437,12200.0,840.0,1212.0,6,6,1925.0,19132.0
3,0,0,61.0,0.0,0.0,4,0,15.0,0.0,7,0,4,78600.0,1.0,3.0,2.0,1788.0,4,2999,15720.0,915.0,1080.0,5,6,1925.0,19124.0
7,1,0,165.0,80000.0,0.0,4,0,52.0,4.0,7,80000,4,601500.0,8.0,8.0,2.0,1227.0,4,886,120300.0,8516.0,6040.0,5,6,1955.0,19119.0
11,0,0,75.0,80000.0,0.0,4,0,23.0,0.0,7,80000,4,135200.0,1.0,3.0,1.0,2789.0,4,3193,27040.0,1700.0,1496.0,6,6,1920.0,19143.0
10,0,0,79.0,80000.0,0.0,5,0,18.0,1.0,7,80000,4,171800.0,1.0,3.0,2.0,1270.0,4,2428,34360.0,1439.0,1224.0,0,6,1950.0,19150.0
11,0,0,80.0,47000.0,11700.0,4,0,16.0,0.0,7,58700,4,58700.0,1.0,3.0,2.0,990.0,4,3189,0.0,1276.0,1088.0,6,6,1920.0,19143.0
11,0,0,51.0,80000.0,0.0,4,0,15.0,0.0,7,80000,4,308300.0,0.0,0.0,3.0,362.0,4,1091,61660.0,765.0,1275.0,1,6,1920.0,19123.0
11,0,0,111.0,80000.0,0.0,4,0,50.0,1.0,13,80000,4,257500.0,0.0,0.0,2.0,2434.0,4,1191,51500.0,5525.0,1800.0,6,6,1950.0,19152.0
9,0,0,66.0,80000.0,0.0,4,0,16.0,0.0,9,80000,4,212200.0,1.0,3.0,2.0,2400.0,4,3100,42440.0,1053.0,960.0,6,6,1930.0,19148.0
