basements,building_code_description,category_code,central_air,depth,exempt_building,exempt_land,exterior_condition,fireplaces,frontage,garage_spaces,general_construction,homestead_exemption,interior_condition,market_value,number_of_bathrooms,number_of_bedrooms,number_stories,off_street_open,parcel_shape,quality_grade,street_code,taxable_building,taxable_land,total_area,total_livable_area,type_heater,view_type,year_built,zip_code,zoning,pin,building_code_new,building_code_description_new,lat,lng
A,IND. LGHT MFG MASONRY,1,Y,,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,2.0,3.0,1340.0,E,,77320.0,0.0,0.0,935.0,1350.0,A,I,2021.0,19125.0,RSA5,1001683724,25,ROW MODERN,39.97713396281555,-75.11485547558293
A,IND. LGHT MFG MASONRY,1,Y,39.0,0.0,0.0,1.0,,16.0,,B ,0,1.0,0.0,2.0,3.0,3.0,1340.0,E,,70780.0,0.0,0.0,623.0,1695.0,A,I,2023.0,19125.0,RSA5,1001683719,25,ROW MODERN,39.97714778805817,-75.11462672006704
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,B,,20880.0,0.0,0.0,,,,,,19123.0,CMX3,1001680696,,,39.95669774386602,-75.13942670779181
,AUTO REPAIR SHOP MAS+OTH,6,,140.0,0.0,0.0,,,24.0,,,0,,0.0,,,,416.0,E,,22740.0,0.0,0.0,3442.0,,,I,,19103.0,RM1,1001681111,,,39.95682519173949,-75.17692437010922
,VACANT LAND RESIDE < ACRE,6,,316.0,0.0,0.0,,,75.0,,,0,,0.0,,,,,B,,48180.0,0.0,0.0,65737.0,,,,,19115.0,RSA2,1001308316,,,40.09415195690924,-75.0375636339058
,IND WAREHOUSE MASONRY,6,,,0.0,0.0,,,,,,0,,0.0,,,,,E,,78120.0,0.0,0.0,4959.0,,,I,,19122.0,RSA5,1001680536,,,39.97498893502706,-75.13780098446253
,VACANT LAND RESIDE < ACRE,6,,45.0,0.0,0.0,,,2.0,,,0,,0.0,,,,,A,,37910.0,0.0,0.0,501.0,,,,,19146.0,IRMX,1001248918,,,39.94066608343974,-75.18604838864442
,VACANT LAND INDUST < ACRE,6,,145.0,0.0,0.0,,,24.0,,,0,,0.0,,,,,E,,56760.0,0.0,0.0,3306.0,,,I,,19122.0,RSA5,1001680524,,,39.977037700394725,-75.13520739524277
,VACANT LAND INDUST < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,68787.0,0.0,0.0,13503.0,,,,,19129.0,CMX3,1001457173,,,40.01062298582999,-75.19941659945897
,VACANT LAND INDUST < ACRE,6,,106.0,0.0,0.0,,,69.0,,,0,,0.0,,,,,B,,68787.0,0.0,0.0,1815.0,,,,,19129.0,CMX3,1001457187,,,40.01056961213099,-75.1993858959662
,VACANT LAND RESIDE < ACRE,6,,117.0,0.0,0.0,,,84.0,,,0,,0.0,,,,,B,,40340.0,0.0,0.0,5504.0,,,I,,19122.0,RSA5,1001261715,,,39.97698206812061,-75.13711841623353
,VACANT LAND BILLBOARD,6,,148.0,0.0,0.0,,,24.0,,,0,,0.0,,,,,A,,88290.0,0.0,0.0,3569.0,,,,,19146.0,IRMX,1001677683,,,39.94035838866471,-75.18365182130849
,VACANT LAND RESIDE < ACRE,6,,99.0,0.0,0.0,,,132.0,,,0,,0.0,,,,,B,,68787.0,0.0,0.0,2223.0,,,,,19129.0,CMX3,1001457174,,,40.01040295254289,-75.19986574362616
,VACANT LAND COMMER < ACRE,6,,90.0,0.0,0.0,,,24.0,,,0,,0.0,,,,,E,,34280.0,0.0,0.0,2160.0,,,I,,19146.0,CMX3,1001681195,,,39.94167756085447,-75.16635583728831
,VACANT LAND RESIDE < ACRE,6,,159.0,0.0,0.0,,,49.0,,,0,,0.0,,,,552.0,B,,35980.0,0.0,0.0,8900.0,,,,,19123.0,RSA5,1001232512,,,39.96227477007744,-75.14399381231813
,AMUSE TV/RADIO STA MAS+O,6,,214.0,0.0,0.0,,,5.0,,,0,,0.0,,,,,A,,68280.0,0.0,0.0,1072.0,,,I,,19128.0,RSD3,1001677539,,,40.0462357596363,-75.2348584459954
,AMUSE TV/RADIO STA MAS+O,6,,671.0,0.0,0.0,,,624.0,,,0,,0.0,,,,,A,,68280.0,0.0,0.0,214320.0,,,I,,19128.0,RSD3,1001677538,,,40.04608077881417,-75.23672493349582
,AMUSE TV/RADIO STA MAS+O,6,,1230.0,0.0,0.0,,,50.0,,,0,,0.0,,,,,A,,68280.0,0.0,0.0,61530.0,,,I,,19128.0,RSD3,1001677537,,,40.0462245919948,-75.23545489180054
,AMUSE TV/RADIO STA MAS+O,6,,71.0,0.0,0.0,,,62.0,,,0,,0.0,,,,,A,,68280.0,0.0,0.0,295.0,,,I,,19128.0,RSD3,1001677536,,,40.04741068306834,-75.23497132163943
,VACANT LAND RESIDE < ACRE,6,,199.0,0.0,0.0,,,48.0,,,0,,0.0,,,,170.0,E,,87850.0,0.0,0.0,9485.0,,,,,19106.0,CMX3,1001588395,,,39.95146066866594,-75.14588797396614
,VACANT LAND RESIDE < ACRE,6,,69.0,0.0,0.0,,,11.0,,,0,,0.0,,,,,A,,37910.0,0.0,0.0,2435.0,,,,,19146.0,IRMX,1001248906,,,39.94053052207845,-75.18571452268851
,VACANT LAND RESIDE < ACRE,6,,47.0,0.0,0.0,,,74.0,,,0,,0.0,,,,,A,,37910.0,0.0,0.0,2372.0,,,,,19146.0,IRMX,1001248919,,,39.94091540253126,-75.18602911113105
,VACANT LAND RESIDE < ACRE,6,,37.0,0.0,0.0,,,81.0,,,0,,0.0,,,,,A,,37910.0,0.0,0.0,2172.0,,,,,19146.0,IRMX,1001248904,,,39.94071180787792,-75.18538741988039
,VACANT LAND RESIDE < ACRE,6,,102.0,0.0,0.0,,,130.0,,,0,,0.0,,,,,B,,37910.0,0.0,0.0,8848.0,,,,,19146.0,IRMX,1001248925,,,39.940824818548045,-75.18605845129683
,VACANT LAND RESIDE < ACRE,6,,160.0,0.0,0.0,,,329.0,,,0,,0.0,,,,,B,,87890.0,0.0,0.0,28296.0,,,,,19123.0,RM1,1001593793,,,39.962469296215104,-75.14730288487985
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,70940.0,0.0,0.0,,,,,,19103.0,CMX4,1001472236,,,39.95179882489565,-75.17658359014085
,VACANT LAND RESIDE < ACRE,6,,,0.0,0.0,,,,,,0,,0.0,,,,,,,70940.0,0.0,0.0,,,,,,19103.0,CMX4,1001472239,,,39.95182018913055,-75.17675892676169
,VACANT LAND RESIDE < ACRE,6,,200.0,0.0,0.0,,,24.0,,,0,,0.0,,,,,B,,29180.0,0.0,0.0,10710.0,,,I,,19125.0,ICMX,1001185496,,,39.97930384068044,-75.13093031280178
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140144,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140142,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140140,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140138,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,121.0,0.0,0.0,,,60.0,,,0,,0.0,,,,,A,,22820.0,0.0,0.0,7115.0,,,,,19104.0,CMX4,1001140136,,,39.95651765350304,-75.2071251578198
,VACANT LAND RESIDE < ACRE,6,,174.0,0.0,0.0,,,86.0,,,0,,0.0,,,,,B,,57520.0,0.0,0.0,9506.0,,,I,,19123.0,RSA5,1001381545,,,39.96310527058076,-75.15502550536237
